季节,AQI
秋季,87
秋季,87
秋季,73
秋季,85
秋季,87
秋季,76
秋季,74
秋季,67
秋季,76
秋季,64
秋季,58
秋季,77
秋季,81
秋季,61
秋季,62
秋季,102
秋季,97
秋季,96
秋季,131
秋季,99
秋季,117
秋季,83
秋季,96
秋季,72
秋季,70
秋季,54
秋季,73
秋季,63
秋季,71
秋季,70
秋季,65
秋季,53
冬季,58
冬季,79
冬季,107
冬季,112
冬季,128
冬季,128
冬季,107
冬季,132
冬季,132
冬季,117
冬季,109
冬季,111
冬季,116
冬季,120
冬季,101
冬季,60
冬季,45
冬季,61
冬季,58
冬季,95
冬季,108
冬季,91
冬季,105
冬季,91
冬季,63
冬季,72
冬季,96
冬季,96
冬季,69
冬季,73
冬季,97
冬季,99
冬季,87
冬季,127
冬季,126
冬季,67
冬季,53
冬季,73
冬季,107
冬季,81
冬季,69
冬季,83
冬季,67
冬季,59
冬季,75
冬季,75
冬季,104
冬季,120
冬季,70
冬季,65
冬季,80
冬季,101
冬季,89
冬季,62
冬季,55
冬季,102
冬季,79
冬季,91
冬季,96
冬季,90
冬季,77
冬季,72
冬季,57
冬季,48
冬季,59
冬季,61
冬季,66
冬季,69
冬季,62
冬季,59
冬季,73
冬季,80
冬季,66
冬季,57
冬季,115
冬季,102
冬季,53
冬季,58
冬季,64
冬季,64
冬季,76
冬季,141
冬季,102
冬季,88
冬季,89
冬季,76
冬季,80
冬季,78
冬季,68
冬季,47
冬季,67
春季,58
春季,59
春季,54
春季,66
春季,62
春季,58
春季,71
春季,69
春季,80
春季,79
春季,75
春季,95
春季,111
春季,90
春季,73
春季,58
春季,73
春季,78
春季,103
春季,92
春季,71
春季,82
春季,76
春季,78
春季,141
春季,87
春季,56
春季,59
春季,79
春季,84
春季,90
春季,57
春季,50
春季,51
春季,51
春季,64
春季,62
春季,56
春季,68
春季,76
春季,141
春季,73
春季,70
春季,88
春季,105
春季,126
春季,71
春季,85
春季,81
春季,98
春季,101
春季,61
春季,61
春季,65
春季,59
春季,68
春季,76
春季,79
春季,82
春季,80
春季,86
春季,87
春季,88
春季,141
春季,100
春季,82
春季,46
春季,51
春季,62
春季,51
春季,84
春季,71
春季,68
春季,62
春季,77
春季,69
春季,51
春季,82
春季,81
春季,76
春季,70
春季,64
春季,77
春季,43
春季,40
春季,48
春季,29
春季,41
春季,54
春季,67
春季,54
春季,68
夏季,54
夏季,61
夏季,66
夏季,58
夏季,67
夏季,71
夏季,76
夏季,43
夏季,65
夏季,72
夏季,46
夏季,54
夏季,56
夏季,54
夏季,53
夏季,42
夏季,41
夏季,66
夏季,56
夏季,57
夏季,49
夏季,36
夏季,56
夏季,68
夏季,69
夏季,43
夏季,53
夏季,79
夏季,59
夏季,59
夏季,38
夏季,62
夏季,62
夏季,67
夏季,79
夏季,61
夏季,55
夏季,47
夏季,44
夏季,42
夏季,29
夏季,45
夏季,52
夏季,32
夏季,39
夏季,40
夏季,48
夏季,31
夏季,48
夏季,55
夏季,42
夏季,41
夏季,38
夏季,48
夏季,40
夏季,70
夏季,73
夏季,50
夏季,50
夏季,49
夏季,68
夏季,47
夏季,57
夏季,46
夏季,38
夏季,32
夏季,37
夏季,55
夏季,52
夏季,56
夏季,65
夏季,34
夏季,46
夏季,50
夏季,35
夏季,45
夏季,57
夏季,33
夏季,44
夏季,46
夏季,43
夏季,30
夏季,41
夏季,31
夏季,47
夏季,63
夏季,76
夏季,83
夏季,73
夏季,43
夏季,23
夏季,43
秋季,42
秋季,53
秋季,64
秋季,62
秋季,51
秋季,58
秋季,61
秋季,56
秋季,43
秋季,52
秋季,51
秋季,54
秋季,38
秋季,35
秋季,38
秋季,53
秋季,40
秋季,63
秋季,48
秋季,35
秋季,26
秋季,37
秋季,56
秋季,70
秋季,59
秋季,50
秋季,34
秋季,27
秋季,51
秋季,38
秋季,44
秋季,51
秋季,53
秋季,51
秋季,51
秋季,54
秋季,55
秋季,47
秋季,64
秋季,62
秋季,75
秋季,63
秋季,56
秋季,43
秋季,62
秋季,55
