PM2.5,AQI
39,68
40,71
26,56
39,79
39,63
37,56
43,72
38,71
39,74
31,63
40,74
50,93
39,69
36,70
37,82
33,76
36,75
53,107
50,115
32,56
35,60
29,52
28,58
29,59
19,33
39,56
57,78
46,72
51,78
51,72
69,98
38,62
25,40
38,59
43,70
44,72
39,79
48,90
37,73
34,60
39,61
50,82
54,91
26,69
41,83
52,91
56,94
65,103
57,97
59,122
68,118
73,106
55,92
50,86
62,102
45,109
41,93
61,98
39,76
38,75
47,84
61,100
82,118
59,88
44,80
37,75
45,88
39,75
39,77
49,90
66,106
70,109
82,122
81,113
55,94
52,95
47,88
75,113
91,131
79,108
41,72
40,76
56,86
41,72
43,76
57,96
59,98
82,116
75,109
88,121
50,88
34,68
30,58
64,93
60,89
73,104
91,132
91,141
91,141
50,97
63,115
76,111
88,121
91,141
91,141
91,141
91,141
91,141
91,141
37,89
65,96
91,125
82,110
67,91
38,69
50,83
73,101
79,110
85,114
91,130
91,140
82,117
73,113
67,109
42,124
60,99
79,113
61,91
49,85
53,94
57,94
62,92
73,102
91,123
78,105
38,72
56,83
41,75
60,110
53,91
35,75
53,83
56,83
77,105
71,97
61,93
60,91
91,141
32,81
51,91
53,85
78,106
62,95
47,75
71,100
39,84
32,64
43,72
35,63
34,51
47,68
39,75
50,128
53,95
53,85
60,85
49,75
32,64
57,89
47,95
34,66
35,59
47,68
53,119
42,90
46,83
47,82
55,86
57,93
49,84
44,86
58,141
66,141
89,141
72,141
73,141
71,141
61,141
43,97
34,76
32,78
44,89
61,141
58,123
52,103
44,118
68,141
63,141
56,123
52,109
66,141
91,141
78,141
78,141
50,141
43,97
48,103
74,141
91,141
64,141
64,118
44,94
47,93
52,92
48,97
46,101
47,99
49,83
64,105
45,89
36,78
33,58
23,41
40,64
35,74
43,83
40,85
39,85
28,57
37,75
39,94
38,87
51,114
31,73
27,59
28,77
26,60
41,87
25,44
35,76
43,94
55,122
42,93
44,91
75,141
46,97
55,126
63,108
32,65
38,70
22,60
23,67
28,66
58,141
68,141
57,124
41,100
30,79
31,86
25,67
31,73
35,92
34,71
26,63
34,97
39,86
37,68
24,57
23,75
24,78
27,91
31,102
27,78
29,97
27,61
28,65
38,82
36,72
35,71
29,92
27,65
32,89
26,75
31,75
30,55
27,64
18,50
19,57
22,64
20,64
21,45
21,43
30,53
19,52
24,61
23,54
28,55
24,43
28,75
19,45
29,73
34,88
26,87
20,52
73,141
37,93
27,73
19,44
27,65
24,48
22,61
28,79
19,47
32,85
27,83
30,63
31,60
20,48
27,67
20,54
21,52
18,51
19,39
15,31
27,60
31,90
32,73
20,42
20,50
23,69
24,60
29,74
31,65
30,62
27,56
28,54
21,50
22,58
34,77
39,91
28,63
20,45
25,70
28,87
26,49
31,52
39,68
35,53
18,41
27,70
20,46
23,43
21,54
21,55
19,58
20,45
27,56
24,53
23,65
21,44
24,56
16,30
22,40
16,34
18,32
21,47
27,62
28,65
28,78
25,62
17,43
16,35
17,38
24,50
28,65
30,70
27,63
25,56
26,60
33,63
30,61
23,56
20,58
26,58
24,45
26,64
29,67
32,70
35,64
35,59
36,58
38,64
32,59
24,45
25,46
17,28
28,45
36,67
55,117
54,104
44,80
25,69
37,81
43,81
38,73
41,78
39,79
43,83
50,85
47,73
23,57
24,38
26,41
34,50
34,50
48,73
