日期,PM2.5,PM10,NO2,SO2,CO,O3
2015-03-15,67,214.5,63.0,26,1.59,36
2015-03-16,59,199.0,48.0,19,1.18,39
2015-03-17,73,214.5,63.0,31,1.9,29
2015-03-18,46,150.0,39.0,25,1.6,49
2015-03-19,32,81.0,25.0,10,0.92,68
2015-03-20,35,112.0,36.0,18,0.9,56
2015-03-21,60,171.0,56.0,22,1.34,49
2015-03-22,64,163.0,64.0,24,1.54,26
2015-03-23,47,93.0,37.0,10,1.04,58
2015-03-24,34,65.0,38.0,7,0.81,64
2015-03-25,37,95.0,53.0,13,1.17,48
2015-03-26,40,105.0,56.0,13,1.06,52
2015-03-27,47,150.0,54.0,13,0.94,47
2015-03-28,51,179.0,64.0,15,0.93,31
2015-03-29,55,119.0,66.0,14,1.1,44
2015-03-30,38,102.0,44.0,13,0.91,61
2015-03-31,48,143.0,52.0,13,0.91,54
2015-04-01,62,146.0,39.0,14,0.83,42
2015-04-02,90,214.5,54.0,20,1.0,45
2015-04-03,53,172.0,29.0,5,0.78,46
2015-04-04,55,178.0,39.0,16,0.88,32
2015-04-05,22,81.0,30.0,19,0.68,73
2015-04-06,25,46.0,31.0,8,0.77,63
2015-04-07,23,50.0,34.0,8,1.01,63
2015-04-08,26,53.0,30.0,8,0.96,59
2015-04-09,30,60.0,29.0,9,0.8,67
2015-04-10,43,106.0,46.0,19,1.1,53
2015-04-11,33,133.0,33.0,8,0.64,71
2015-04-12,40,175.0,30.0,14,0.5,65
2015-04-13,35,140.0,60.0,32,1.04,40
2015-04-14,42,159.0,56.0,25,1.06,42
2015-04-15,66,214.5,57.0,34,1.16,66
2015-04-16,90,214.5,41.0,21,0.85,74
2015-04-17,72,214.5,43.0,23,1.14,66
2015-04-18,40,129.0,20.0,6,0.64,75
2015-04-19,22,65.0,30.0,10,0.7,98
2015-04-20,26,60.0,36.0,8,0.71,67
2015-04-21,30,63.0,43.0,9,0.89,60
2015-04-22,49,126.0,62.0,27,0.97,59
2015-04-23,31,87.0,53.0,20,0.97,53
2015-04-24,52,140.0,61.0,35,1.1,53
2015-04-25,40,85.0,48.0,17,0.86,65
2015-04-26,37,88.0,54.0,18,0.88,54
2015-04-27,53,120.0,63.0,26,1.08,70
2015-04-28,50,111.0,51.0,25,1.02,60
2015-04-29,42,93.0,48.0,17,0.91,70
2015-04-30,57,133.0,35.0,9,0.69,51
2015-05-01,38,68.0,36.0,7,0.83,66
2015-05-02,34,83.0,39.0,16,0.78,61
2015-05-03,22,40.0,21.0,6,0.52,89
2015-05-04,30,76.0,39.0,10,0.78,75
2015-05-05,35,84.0,49.0,16,0.93,50
2015-05-06,60,170.0,45.0,11,0.92,59
2015-05-07,56,147.0,43.0,19,0.82,52
2015-05-08,43,113.0,38.0,19,0.8,75
2015-05-09,36,87.0,49.0,19,1.11,53
2015-05-10,60,185.0,26.0,5,0.91,57
2015-05-11,37,105.0,41.0,11,0.75,53
2015-05-12,44,152.0,72.0,21,1.2,43
2015-05-13,49,150.0,58.0,18,1.01,61
2015-05-14,50,164.0,56.0,11,0.86,47
2015-05-15,54,165.0,51.0,19,0.84,53
2015-05-16,47,132.0,51.0,16,0.68,56
2015-05-17,51,134.0,52.0,14,0.9,63
2015-05-18,91,214.5,50.0,19,0.79,55
2015-05-19,64,189.0,43.0,14,0.69,57
2015-05-20,25,53.0,32.0,7,0.55,59
2015-05-21,32,52.0,32.0,7,0.74,77
2015-05-22,47,98.0,48.0,10,0.76,55
2015-05-23,31,71.0,41.0,13,0.78,66
2015-05-24,33,96.0,48.0,17,0.92,53
2015-05-25,23,77.0,32.0,7,0.71,51
