PM2.5,PM10
30,71.0
41,87.0
49,132.0
49,137.0
44,115.0
74,214.5
24,50.0
50,131.0
66,190.0
52,147.0
47,144.0
49,109.0
64,172.0
35,90.0
48,117.0
91,214.5
32,105.0
33,132.0
32,71.0
60,161.0
39,81.0
44,78.0
41,73.0
28,62.0
75,184.0
24,37.0
19,26.0
21,33.0
39,92.0
21,43.0
24,44.0
31,72.0
52,118.0
43,96.0
32,76.0
39,82.0
49,93.0
42,86.0
39,100.0
22,52.0
31,84.0
35,95.0
28,55.0
19,40.0
25,57.0
29,70.0
48,125.0
31,69.0
30,93.0
49,166.0
27,61.0
30,83.0
35,105.0
53,138.0
40,99.0
33,72.0
43,85.0
50,104.0
32,53.0
46,94.0
30,67.0
36,81.0
59,168.0
35,101.0
44,125.0
27,80.0
33,100.0
37,99.0
26,90.0
33,96.0
31,79.0
24,60.0
20,55.0
20,55.0
36,92.0
35,61.0
20,30.0
31,56.0
24,60.0
30,68.0
28,83.0
24,76.0
34,111.0
22,39.0
33,71.0
32,81.0
48,136.0
51,112.0
23,64.0
18,36.0
31,73.0
30,75.0
32,94.0
28,82.0
31,91.0
26,61.0
20,54.0
19,56.0
19,61.0
23,64.0
28,68.0
27,82.0
37,101.0
39,112.0
25,75.0
26,71.0
39,147.0
23,66.0
32,91.0
27,78.0
32,74.0
33,56.0
46,98.0
32,76.0
22,49.0
17,38.0
24,55.0
46,96.0
41,76.0
18,32.0
23,42.0
16,30.0
22,53.0
29,78.0
31,87.0
30,59.0
32,77.0
43,119.0
42,106.0
38,115.0
40,96.0
45,120.0
37,104.0
23,44.0
38,103.0
39,105.0
24,52.0
37,94.0
36,91.0
26,47.0
34,79.0
43,87.0
39,77.0
37,84.0
29,59.0
34,58.0
44,95.0
37,91.0
36,102.0
40,122.0
45,113.0
41,108.0
29,80.0
35,107.0
32,86.0
39,83.0
41,95.0
42,106.0
38,105.0
36,127.0
68,214.5
32,111.0
35,106.0
29,62.0
25,75.0
38,116.0
37,67.0
43,87.0
66,126.0
53,110.0
46,109.0
33,70.0
51,106.0
35,102.0
49,119.0
50,140.0
45,115.0
52,160.0
49,173.0
28,51.0
56,100.0
34,56.0
38,81.0
47,97.0
30,58.0
20,36.0
39,71.0
49,101.0
51,141.0
63,156.0
76,174.0
91,209.0
91,212.0
91,206.0
51,151.0
54,191.0
68,192.0
71,191.0
91,214.5
91,214.5
90,214.5
91,214.5
66,184.0
91,205.0
91,214.5
91,214.5
91,214.5
79,214.5
89,214.5
44,153.0
32,88.0
47,112.0
62,139.0
62,188.0
91,214.5
91,214.5
76,181.0
49,143.0
79,189.0
91,201.0
91,198.0
91,214.5
91,214.5
54,146.0
70,173.0
91,189.0
91,213.0
91,193.0
91,191.0
91,214.0
74,167.0
83,182.0
73,155.0
69,146.0
91,174.0
91,195.0
91,214.0
91,207.0
91,214.5
67,214.5
75,214.5
91,214.5
85,167.0
45,132.0
34,97.0
68,139.0
61,126.0
50,111.0
84,151.0
91,160.0
68,126.0
91,157.0
91,178.0
91,210.0
91,201.0
51,116.0
47,91.0
44,84.0
31,56.0
25,47.0
52,91.0
86,142.0
91,163.0
87,149.0
55,119.0
39,107.0
39,83.0
59,113.0
74,214.5
71,214.5
60,145.0
54,118.0
78,147.0
91,167.0
91,214.5
91,214.5
63,214.5
56,214.5
35,152.0
37,133.0
39,120.0
46,109.0
63,115.0
66,121.0
59,121.0
83,150.0
62,144.0
30,121.0
33,71.0
61,100.0
30,58.0
59,104.0
91,152.0
81,139.0
61,114.0
68,148.0
50,211.0
50,179.0
66,181.0
76,186.0
62,214.5
70,214.5
52,182.0
52,124.0
64,121.0
37,74.0
46,90.0
53,105.0
34,125.0
50,214.5
42,146.0
46,150.0
44,104.0
30,62.0
39,83.0
30,64.0
43,90.0
43,88.0
44,77.0
45,72.0
43,64.0
43,66.0
48,67.0
56,89.0
79,131.0
45,82.0
59,107.0
46,71.0
48,113.0
41,91.0
46,91.0
40,83.0
45,129.0
32,129.0
43,162.0
54,179.0
84,214.5
58,198.0
28,67.0
28,67.0
34,100.0
40,106.0
45,83.0
60,103.0
55,138.0
48,141.0
66,206.0
32,50.0
39,58.0
39,54.0
37,67.0
42,112.0
